segment,segment_definition,n_obs,price_elasticity_coef,std_err,p_value,r_squared,uber_market_share,uber_revenue_share,total_uber_trips,total_lyft_trips,total_rideshare_trips,total_trips,total_uber_revenue,total_lyft_revenue,total_market_revenue,uber_share_among_hvfhv_logit,uber_share_logit,avg_uber_fare_per_mile,avg_uber_take_rate,avg_uber_wait_time,avg_lyft_fare_per_mile,avg_lyft_take_rate,avg_lyft_wait_time,log_rel_fare_per_mile,opportunity_score,significant_10pct,significant_5pct
Brooklyn | no_rain | Evening | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",727,-0.35181058019527567,0.15736892556324172,0.02537939688927214,0.03702264148548118,0.7164595177299916,0.6785345774639208,96635200,38243600,134878800,153621975.0,451667258.2115799,213983798.06874076,665651056.2803206,0.9392990233770311,0.5373474816322589,6.839311700059432,0.17509778982001845,4.330890067161973,7.0577773897994955,0.22486727684630575,4.308704923435673,-0.03993335419870165,7.147480900858981,True,True
Queens | high_rain | Afternoon | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",168,-0.3787490907411251,0.20351094960225052,0.06273362064211942,0.10207059645352001,0.7451998005111901,0.6906826574831081,19126000,6539600,25665600,30946226.0,107270410.87785074,48040294.7199284,155310705.59777915,1.0860314914780924,0.4836013708449825,6.0133017485573035,0.15274670236330207,4.8473839322325265,6.291954357058741,0.20174869537453738,4.724816915778113,-0.05289102582189208,7.143563204050775,True,False
Manhattan | no_rain | Morning | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",324,-0.3335017198914142,0.12539349480575354,0.007822390621794144,0.13909826853409724,0.7146171497992103,0.7823022323580267,33882000,13530800,47412800,71542646.0,403510029.120363,112288101.61498882,515798130.7353518,0.9008215980640273,-0.06273312276665294,7.174537918708615,0.2752793248334753,3.899995669262566,6.206003093835348,0.2372387356791899,4.042759770124632,0.09905101478042862,6.690453383913005,True,True
Queens | low_rain | Late Night | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",120,-0.3425131137285497,0.28199931594781663,0.22452309396663095,0.10050561677908176,0.7007494854568754,0.7138738807817708,7218000,3082400,10300400,10981341.0,53763662.85110724,21548887.86475601,75312550.71586326,0.8416278774491073,0.6453684726415064,5.822169088649138,0.20803296334738405,5.959539027487145,5.576771129177103,0.20658697221527875,6.072941903270913,0.019434113756032427,6.212214244412332,False,False
Queens | low_rain | Afternoon | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.3055070943316153,0.10675568686239094,0.004213214446294526,0.17961290895827353,0.7338057344243549,0.7230159072824245,31315600,11360000,42675600,55226944.0,241046120.02765676,92343667.94211097,333389787.96976775,1.0198438289676677,0.2702952301692001,6.582260254792127,0.19548924017542227,4.626210799001007,6.625793524736656,0.21402932598905405,4.532856312546106,-0.013664806620743099,5.995522621210202,True,True
Brooklyn | high_rain | Afternoon | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",296,-0.3014086095408987,0.2807086739972209,0.2829384649427371,0.12107164405279536,0.7226920004113305,0.6967859342272461,36544800,14022800,50567600,65373445.0,198343068.88879538,86311168.72689798,284654237.61569333,0.9622066731598243,0.23244456696326193,8.119522692374781,0.18446518932209427,4.713997578286309,8.169671932741442,0.21345842946980476,4.780616672785752,-0.019671898589761046,5.867456841375866,False,False
Bronx | low_rain | Afternoon | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",176,-0.31924016007030726,0.17694300492492457,0.0712003219546799,0.11671586945635237,0.7541199913830245,0.6793218383292737,11202000,3652400,14854400,17849595.0,40179839.66268773,18967146.928389855,59146986.59107758,1.128541991507656,0.5193076503570717,6.807707996770102,0.13333973142506791,4.782895207343057,7.213750885785999,0.19678496516224972,4.9031086731259315,-0.0895134205014614,5.712973847031191,True,False
Bronx | low_rain | Morning | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",226,-0.30828044744180133,0.139353962214573,0.026952049832400193,0.13396519220641878,0.7506710696560648,0.7235458420290932,15548800,5164400,20713200,26052412.0,76409963.02354845,29194904.816291988,105604867.83984044,1.1045767407665268,0.40439786543733297,6.533975193282527,0.17083412077841348,4.840327638487315,6.752132931152832,0.20729707832065256,4.894155096931818,-0.0427659820295961,5.695547557453512,True,True
Brooklyn | low_rain | Late Night | 0,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",96,-0.30714367790854397,0.2978129054186169,0.30238563155490006,0.015611332237773778,0.6584801917383336,0.6970722386061263,9341200,4844800,14186000,14697486.0,66273670.3177904,28800651.463137195,95074321.7809276,0.6519044754389519,0.5373016939475126,6.87234261196519,0.21632744555908748,5.63718767719524,6.551330496149675,0.20636726010174863,6.0078682103089704,0.015335102570263237,5.642281420579476,False,False
Queens | low_rain | Morning | 1,"['PU_Borough', 'rain_bucket', 'PU_time_zone', 'PU_weekday']",306,-0.2851790438254318,0.1397300562277446,0.04125794179379551,0.26856918071014135,0.7182172616772418,0.7364052054655145,30064000,11795200,41859200,54816726.0,230182701.03139597,82393444.98577845,312576146.0171744,0.9384674582922178,0.19619453836987913,6.383512396257148,0.20981923837605912,4.643380014584317,6.228656551053417,0.20903502918551536,4.637904440440877,0.01645758398828002,5.578204381797888,True,True
